Stock Index,Stock Price
AC3235,825.4746
AC3236,261.8803
AC3237,1569.978
AC3238,812.3132
AC3239,277.6407
AC3240,364.90436
AC3241,746.4473
AC3242,897.8359
AC3243,912.3679
AC3244,1354.579
AC3245,289.97052
AC3246,423.7148
AC3247,782.0376
AC3248,154.38947
AC3249,167.28711
AC3250,267.40695
AC3251,1803.6926
AC3252,136.44284
AC3253,260.92984
AC3254,223.48915
AC3255,992.2278
AC3256,863.84827
AC3257,1514.439
AC3258,511.8569
AC3259,261.66187
AC3260,278.04855
AC3261,134.86023
AC3262,241.6167
AC3263,403.68903
AC3264,133.25092
AC3265,1063.8818
AC3266,895.88586
AC3267,544.54395
AC3268,777.20374
AC3269,408.7865
AC3270,826.4656
AC3271,62.099033
AC3272,384.34637
AC3273,894.5697
AC3274,661.2866
AC3275,520.9321
AC3276,692.69385
AC3277,1003.19635
AC3278,988.6387
AC3279,174.53558
AC3280,435.60974
AC3281,906.1609
AC3282,141.47282
AC3283,787.7145
AC3284,594.3142
AC3285,121.23432
AC3286,885.5688
AC3287,194.80727
AC3288,196.44315
AC3289,168.54077
AC3290,208.68196
AC3291,186.85577
AC3292,79.632515
AC3293,513.2226
AC3294,190.62355
AC3295,574.5618
AC3296,120.6185
AC3297,617.12354
AC3298,809.5404
AC3299,131.67151
AC3300,62.929596
AC3301,832.2394
AC3302,130.11917
AC3303,1234.3511
AC3304,63.59842
AC3305,265.0655
AC3306,171.78807
AC3307,62.357468
AC3308,173.25052
AC3309,269.97995
AC3310,829.43713
AC3311,1095.296
AC3312,886.1787
AC3313,62.524544
AC3314,88.60715
AC3315,129.00986
AC3316,429.33502
AC3317,983.2238
AC3318,557.60626
AC3319,1184.2001
AC3320,62.876396
AC3321,84.76109
AC3322,125.51921
AC3323,905.4529
AC3324,64.2
AC3325,282.75937
AC3326,394.47192
AC3327,63.324932
AC3328,135.12354
AC3329,712.26306
AC3330,904.13727
AC3331,257.4133
AC3332,818.61536
AC3333,1432.718
AC3334,321.62256
AC3335,629.19696
AC3336,133.02893
AC3337,634.49115
AC3338,1740.0599
AC3339,801.62134
AC3340,61.70646
AC3341,1257.5607
AC3342,1191.3235
AC3343,281.25717
AC3344,63.88112
AC3345,198.29022
AC3346,61.985428
AC3347,283.1032
AC3348,657.8202
AC3349,523.7836
AC3350,143.82285
AC3351,802.27856
AC3352,63.30913
AC3353,405.4173
AC3354,237.74567
AC3355,654.7363
AC3356,227.79738
AC3357,657.93695
AC3358,1586.6786
AC3359,1334.5645
AC3360,1171.4901
AC3361,192.47018
AC3362,368.58014
